meeting_id,project_id,project_name,meeting_type_id,meeting_type,meeting_date,meeting_minutes,attendee_contact_id,attendee_name,meeting_time
89,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,No minutes recorded,111.0,Lew Ischinger,2022-03-30 20:00:00
89,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,No minutes recorded,158.0,Unknown,2022-03-30 20:00:00
90,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,Need to ensure Gene sends a sub next time,6.0,T.J. Shalmark,2022-04-06 20:00:00
90,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,Need to ensure Gene sends a sub next time,7.0,Jerri Shaw,2022-04-06 20:00:00
90,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,Need to ensure Gene sends a sub next time,8.0,Shally Singh-Smith,2022-04-06 20:00:00
90,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,Need to ensure Gene sends a sub next time,111.0,Lew Ischinger,2022-04-06 20:00:00
90,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,Need to ensure Gene sends a sub next time,158.0,Unknown,2022-04-06 20:00:00
91,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,cccccccccccccc,6.0,T.J. Shalmark,2022-04-13 20:00:00
91,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,cccccccccccccc,7.0,Jerri Shaw,2022-04-13 20:00:00
91,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,cccccccccccccc,8.0,Shally Singh-Smith,2022-04-13 20:00:00
91,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,cccccccccccccc,111.0,Lew Ischinger,2022-04-13 20:00:00
91,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,cccccccccccccc,158.0,Unknown,2022-04-13 20:00:00
92,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,No minutes recorded,6.0,T.J. Shalmark,00:00:00
